gid:0, code:000001, symbol:平安银行 
gid:39400, code:000916, symbol:华北高速 
gid:39500, code:000917, symbol:电广传媒 
gid:39600, code:000918, symbol:嘉凯城 
gid:39700, code:000919, symbol:金陵药业 
gid:39800, code:000920, symbol:南方汇通 
gid:39900, code:000921, symbol:海信科龙 
gid:40000, code:000922, symbol:*ST佳电 
gid:40100, code:000923, symbol:河北宣工 
gid:40200, code:000925, symbol:众合科技 
gid:40300, code:000926, symbol:福星股份 
gid:40400, code:000927, symbol:一汽夏利 
gid:40500, code:000928, symbol:中钢国际 
gid:40600, code:000929, symbol:兰州黄河 
gid:40700, code:000930, symbol:中粮生化 
gid:40800, code:000931, symbol:中 关 村 
gid:40900, code:000932, symbol:*ST华菱 
gid:41000, code:000933, symbol:神火股份 
gid:41100, code:000935, symbol:四川双马 
gid:41200, code:000936, symbol:华西股份 
gid:41300, code:000937, symbol:冀中能源 
gid:41400, code:000938, symbol:紫光股份 
gid:41500, code:000939, symbol:凯迪生态 
gid:41600, code:000948, symbol:南天信息 
gid:41700, code:000949, symbol:新乡化纤 
gid:41800, code:000951, symbol:中国重汽 
gid:41900, code:000952, symbol:广济药业 
gid:42000, code:000953, symbol:*ST河化 
gid:42100, code:000955, symbol:欣龙控股 
gid:42200, code:000957, symbol:中通客车 
gid:42300, code:000958, symbol:东方能源 
gid:42400, code:000959, symbol:首钢股份 
gid:42500, code:000960, symbol:锡业股份 
gid:42600, code:000961, symbol:中南建设 
gid:42700, code:000962, symbol:东方钽业 
gid:42800, code:000963, symbol:华东医药 
gid:42900, code:000965, symbol:天保基建 
gid:43000, code:000966, symbol:长源电力 
gid:43100, code:000967, symbol:盈峰环境 
gid:43200, code:000968, symbol:蓝焰控股 
gid:43300, code:000969, symbol:安泰科技 
gid:43400, code:000970, symbol:中科三环 
gid:43500, code:000971, symbol:高升控股 
gid:43600, code:000972, symbol:*ST中基 
gid:43700, code:000973, symbol:佛塑科技 
gid:43800, code:000975, symbol:银泰资源 
gid:43900, code:000976, symbol:春晖股份 
gid:44000, code:000977, symbol:浪潮信息 
gid:44100, code:000978, symbol:桂林旅游 
gid:44200, code:000979, symbol:中弘股份 
gid:44300, code:000980, symbol:众泰汽车 
gid:44400, code:000981, symbol:银亿股份 
gid:44500, code:000982, symbol:*ST 中绒 
gid:44600, code:000983, symbol:西山煤电 
gid:44700, code:000985, symbol:大庆华科 
gid:44800, code:000987, symbol:越秀金控 
gid:44900, code:000988, symbol:华工科技 
gid:45000, code:000989, symbol:九 芝 堂 
gid:45100, code:000990, symbol:诚志股份 
gid:45200, code:000993, symbol:闽东电力 
gid:45300, code:000995, symbol:皇台酒业 
gid:45400, code:000996, symbol:中国中期 
gid:45500, code:000997, symbol:新 大 陆 
gid:45600, code:000998, symbol:隆平高科 
gid:45700, code:000999, symbol:华润三九 
gid:45800, code:001696, symbol:宗申动力 
gid:45900, code:001896, symbol:豫能控股 
gid:46000, code:001979, symbol:招商蛇口 
gid:46100, code:002001, symbol:新 和 成 
gid:46200, code:002002, symbol:鸿达兴业 
gid:46300, code:002003, symbol:伟星股份 
gid:46400, code:002004, symbol:华邦健康 
gid:46500, code:002005, symbol:德豪润达 
gid:46600, code:002006, symbol:精功科技 
gid:46700, code:002007, symbol:华兰生物 
gid:46800, code:002008, symbol:大族激光 
gid:46900, code:002009, symbol:天奇股份 
gid:47000, code:002010, symbol:传化智联 
