gid:58601, code:091159, symbol:17国质04 
gid:58701, code:091160, symbol:17国质05 
gid:58801, code:091161, symbol:17国质06 
gid:58901, code:091162, symbol:17国质07 
gid:59001, code:091163, symbol:17国质08 
gid:59101, code:091164, symbol:17国质09 
gid:59201, code:091165, symbol:17国质10 
gid:59301, code:091166, symbol:17国质11 
gid:59401, code:091167, symbol:17国质12 
gid:59501, code:091168, symbol:17国质13 
gid:59601, code:100923, symbol:中储回售 
gid:59701, code:102000, symbol:14繁昌质 
gid:59801, code:102001, symbol:14电质02 
gid:59901, code:102002, symbol:14天质02 
gid:60001, code:102004, symbol:14溧昆质 
gid:60101, code:102005, symbol:14乐清质 
gid:60201, code:102016, symbol:14忠旺质 
gid:60301, code:102017, symbol:14粤高质 
gid:60401, code:102018, symbol:14新质01 
gid:60501, code:102020, symbol:14玉质01 
gid:60601, code:102021, symbol:14京天质 
gid:60701, code:102022, symbol:10句容质 
gid:60801, code:102026, symbol:14沪建质 
gid:60901, code:102027, symbol:14晋城质 
gid:61001, code:102029, symbol:14岳阳质 
gid:61101, code:102030, symbol:14鹿城质 
gid:61201, code:102038, symbol:14吴中质 
gid:61301, code:102052, symbol:14甘质02 
gid:61401, code:102056, symbol:16朝国质 
gid:61501, code:102068, symbol:14新质02 
gid:61601, code:102069, symbol:14准国质 
gid:61701, code:102073, symbol:15铁西质 
gid:61801, code:102096, symbol:15东方质 
gid:61901, code:102100, symbol:15新交质 
gid:62001, code:102107, symbol:14紫质02 
gid:62101, code:102121, symbol:15苏国质 
gid:62201, code:102122, symbol:10湘高质 
gid:62301, code:102124, symbol:14色质03 
gid:62401, code:102140, symbol:15文小质 
gid:62501, code:102145, symbol:15长质01 
gid:62601, code:102149, symbol:15粤路质 
gid:62701, code:102158, symbol:15东营质 
gid:62801, code:102161, symbol:15石国质 
gid:62901, code:102166, symbol:15洋口质 
gid:63001, code:102173, symbol:15津铁质 
gid:63101, code:102175, symbol:15武质01 
gid:63201, code:102176, symbol:15武质02 
gid:63301, code:102183, symbol:15淮城质 
gid:63401, code:102193, symbol:15马花质 
gid:63501, code:102195, symbol:16闽投Z2 
gid:63601, code:102205, symbol:15巢城质 
gid:63701, code:102208, symbol:15网质01 
gid:63801, code:102209, symbol:15网质02 
gid:63901, code:102214, symbol:15建发质 
gid:64001, code:102232, symbol:15长质02 
gid:64101, code:102242, symbol:15当涂质 
